epoch,loss,loss_val,train_acc,val_acc,train_roc,val_roc,lr
0.0,0.005661854506945253,0.005378116754218799,0.9818397308456951,0.9822521419828641,0.5019169928132651,0.781811956171447,0.001
1.0,0.005139303580462368,0.005780331607488517,0.9822220523015751,0.9788861689106487,0.5010558067487757,0.7510164894188419,0.001
2.0,0.005086049663586079,0.005030253233366408,0.9821838201559872,0.9822521419828641,0.4999805379315714,0.8108027177999786,0.001
3.0,0.004982183475708491,0.005008607373314692,0.9821838201559872,0.9822521419828641,0.5010363446803471,0.8067757009345795,0.001
4.0,0.00492735423184905,0.005142564217746942,0.9822220523015751,0.9822521419828641,0.5,0.7888374154044474,0.001
5.0,0.00493920545980957,0.0050038551260384355,0.9822220523015751,0.9822521419828641,0.5,0.8178778601353529,0.001
6.0,0.004837643546106399,0.004836725613216025,0.9821838201559872,0.9822521419828641,0.4999805379315714,0.8336314319475776,0.001
7.0,0.004766813971035725,0.004851757715677904,0.9821838201559872,0.9822521419828641,0.4999805379315714,0.8267926200451177,0.001
8.0,0.004711328255946803,0.005006907579806523,0.9821838201559872,0.9822521419828641,0.4999805379315714,0.82702492211838,0.001
9.0,0.004658173384708695,0.005190433210760555,0.9820691237192232,0.9811811505507956,0.49992215172628546,0.8273216779460737,0.001
10.0,0.004404598300570346,0.004636737334768822,0.9822602844471632,0.9822521419828641,0.5031868823147556,0.8448101299817382,0.0003
11.0,0.0043338131406688435,0.0046011772469989045,0.9822220523015751,0.9822521419828641,0.5031674202463269,0.8521135460307229,0.0003
12.0,0.0042595617122366215,0.004614715085208423,0.9821455880103992,0.9822521419828641,0.5031284961094696,0.8528064238908583,0.0003
13.0,0.004284605825161651,0.004589616761610112,0.9821073558648111,0.9822521419828641,0.503109034041041,0.8548528305940489,0.0003
14.0,0.004194782999858897,0.004639395170269712,0.9821838201559872,0.9820991432068543,0.5031479581778983,0.8508647545386185,0.0003
15.0,0.004173160985063124,0.004652984127700967,0.9821838201559872,0.9822521419828641,0.5052595716754498,0.8530790095606402,0.0003
16.0,0.004142706446814071,0.00462478288229768,0.9822602844471632,0.9822521419828641,0.5095217228074096,0.8565138575572027,0.0003
17.0,0.004160866540538907,0.0046355884605628235,0.9822602844471632,0.9822521419828641,0.5095217228074096,0.8541008701256848,0.0003
18.0,0.0040244032827838755,0.004666036957326446,0.9820691237192232,0.9820991432068543,0.5125918327115936,0.8531421205285209,0.0003
19.0,0.004076485973349863,0.004697426312764499,0.9821073558648111,0.9817931456548348,0.5104996812824707,0.853992104415082,0.0003
20.0,0.0039628758641585965,0.004777289366944051,0.9820691237192232,0.9820991432068543,0.5073127989677152,0.858254108926845,8.999999999999999e-05
21.0,0.003934167601820609,0.0047309296389987845,0.9823749808839272,0.9820991432068543,0.518026563002901,0.8574323235578473,8.999999999999999e-05
22.0,0.0039304143923720326,0.004742126321804658,0.9822985165927511,0.9820991432068543,0.5158760253684923,0.8555188527231712,8.999999999999999e-05
23.0,0.0038915038870928555,0.004729273627608196,0.9823749808839272,0.9819461444308446,0.5127475292590226,0.8568294123966055,8.999999999999999e-05
24.0,0.0038030545432162577,0.004869814896108442,0.9823367487383392,0.9819461444308446,0.5180071009344722,0.8561351917499195,2.6999999999999996e-05
25.0,0.0038321385139739447,0.004874022484402845,0.9825279094662792,0.9819461444308446,0.5233834450204937,0.8562506713932754,2.6999999999999996e-05
